id,tenant_id,category_id,name,description,price,created_at,image_url,image_ext,name_localized,description_localized,sku,tax_group_reference,is_sold_by_weight,is_active,is_stock_product,cost,barcode,preparation_time,calories,walking_minutes_to_burn_calories,is_high_salt,meta,active,category_reference,ingredients_en,ingredients_ar,allergens,fat_g,carbs_g,protein_g,sugar_g,sodium_mg,serving_size,pos_visible,online_visible,delivery_visible,spice_level,packaging_fee,image_white_url,image_beauty_url,talabat_reference,jahez_reference,vthru_reference,nutrition,salt_g
70bfd338-5dc0-4f2c-8743-f04275841640,f8578f9c-782b-4d31-b04f-3b2d890c5896,cb2eb7fb-737f-47a7-a6f2-2a3d0934d465,Small | Arabic Coffee,,0.950,2025-09-07 14:07:01.756492+00,,,,,PHT-125,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
1ee4a8f4-8041-4bf7-9dec-70645f58a874,f8578f9c-782b-4d31-b04f-3b2d890c5896,bc86c448-6999-4ab7-a183-bf91fc4aa5ef,Coffee Beans | Gwanda Blend 250g,,6.000,2025-09-07 14:07:00.609634+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1752057778_9f594626-748b-451f-9bdd-7aa926939e12.jpg,,حبوب القهوة | خلطة جواندا 250 جرام,,659657707798,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
34efbec1-6b36-42b7-af15-817f2470b8b7,f8578f9c-782b-4d31-b04f-3b2d890c5896,574752a3-f17f-4d2c-9502-e01f24d119d7,Danish | Mixed Nuts,,1.350,2025-09-07 14:07:00.79458+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1747309603_9eeab8d2-f4d4-4598-9ece-fdb1d4e7ee2c.jpg,,دانيش مكسرات مشكلة,,PCR-106,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
364e305b-4843-43b1-9591-62f7a1585890,f8578f9c-782b-4d31-b04f-3b2d890c5896,574752a3-f17f-4d2c-9502-e01f24d119d7,Danish | Ricotta,,1.250,2025-09-07 14:07:00.977859+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1747309369_9eeab76d-c762-4695-b75c-3104a9d539d4.jpg,,دانيش جبنة الريكوتا,,PCR-116,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
7a9a6f89-b532-4cdc-ba55-7a0d0be7ff9d,56ac557e-589d-4602-bc9b-946b201fb6f6,ac55b476-3c4f-4495-afda-a3dd68ad6b36,Machbous,,5.000,2025-09-06 12:48:05.716903+00,,,مجبوس,,,,false,,false,0.000,,,,,false,"{""extra_images"": []}",false,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
d87ed38d-a1ba-4739-a6f6-49adcfc0d011,f8578f9c-782b-4d31-b04f-3b2d890c5896,354c4c69-c005-4a9d-aa6e-c71552545f57,Box | Umm Ali,,8.000,2025-09-07 14:07:01.953172+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1741162581_9e5b99b7-0fbe-4892-a39c-31fb54f41831.jpg,,,,PPT-110,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
9bdef3fc-3f11-4416-8439-bd152af07d33,f8578f9c-782b-4d31-b04f-3b2d890c5896,22bcad37-8b9f-4cf4-8f07-a8b353dd7d60,Multi Mixed Nuts,,0.350,2025-09-07 14:07:07.388742+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1753620990_9f7dab9e-f8cc-48b2-be34-cfdc02724fd2.jpg,,,,PSN-133,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
b513dd2a-0ab2-4baf-9622-548b630cb1b5,f8578f9c-782b-4d31-b04f-3b2d890c5896,cb2eb7fb-737f-47a7-a6f2-2a3d0934d465,French Coffee,,1.350,2025-09-07 14:07:02.506148+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1740381160_9e496815-325a-41ca-8ff4-8eb1b6b68616.png,,قهوة فرنسية,,PHT-118,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
58cf0aaf-9234-4c4e-a238-8264087f0bcb,f8578f9c-782b-4d31-b04f-3b2d890c5896,22bcad37-8b9f-4cf4-8f07-a8b353dd7d60,Saffron Milk Cake,,1.750,2025-09-07 14:07:02.876898+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1738933242_9e27b1d2-b1cc-44c1-a0c4-d64abc1b388f.png,,كيكة الزعفران,,PSN-151,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
63a3ed4c-ca23-4e5c-9a13-881574481729,f8578f9c-782b-4d31-b04f-3b2d890c5896,574752a3-f17f-4d2c-9502-e01f24d119d7,Turkey Croissant,,1.850,2025-09-07 14:07:03.05973+00,https://foodics-console-production.s3.eu-west-1.amazonaws.com/images/494675_1733746624_9daeef2a-e89f-40a7-98e0-91dcde474656.jpg,,تركي كرواسون,,PCR-112,,false,,false,0.000,,,,,false,{},true,,,,[],0.000,0.000,0.000,0.000,,,true,true,true,,0.000,,,,,,,0.000
